SF,Modulation,Velocity
0.244368599725265,0.0131569168608118,11
0.362672158775787,0.00830902212329956,11
0.483947148440594,0.00746071194017405,11
0.740601341981792,0.0086288296477631,11
0.99072476675891,0.0118440022543398,11
1.45635501416083,0.0317201810209063,11
2.01122799335111,0.0972598875918966,11
2.97998865711412,1.00021324802914,11
0.245370663885917,0.122401202254835,0.15
0.370444831713525,0.065706810733145,0.15
0.484307360319174,0.0392961176532854,0.15
0.730205241802839,0.0168319255774988,0.15
0.982283790440058,0.0128464763481607,0.15
1.45666464477334,0.00708525488264959,0.15
1.94242046074607,0.00565724191040771,0.15
2.91575747203947,0.00531570603134336,0.15
3.89428285125213,0.00556491947941824,0.15
5.85688317822333,0.00723758169351089,0.15
7.56607886506908,0.0122264715430549,0.15
11.4428298250439,0.0410398755606019,0.15
