TF,Modulation,Condition,SF
1.0006185977148,0.00847569676607745,Motion,1
1.50469114678117,0.00785573704457099,Motion,1
2.00395236126387,0.0072772200503239,Motion,1
2.96163871495186,0.00674440675966974,Motion,1
4.01347304898941,0.00619445812525064,Motion,1
6.03412544262883,0.00604684094781052,Motion,1
8.10126514110404,0.00660111239668287,Motion,1
12.1483139353145,0.0128624877339542,Motion,1
16.0138718848176,0.0181948617244988,Motion,1
24.1945580980947,0.0483899780761504,Motion,1
32.0049815647257,0.270401323268769,Motion,1
0.998081527821428,0.0166285150275905,Flicker,1
1.50043641393042,0.016658486433983,Flicker,1
1.98135020633075,0.014778693944799,Flicker,1
2.98112605017909,0.0118265691474167,Flicker,1
4.00251516979318,0.0127995610086778,Flicker,1
6.01863001308871,0.011966272396593,Flicker,1
8.08072437168931,0.0129507578806238,Flicker,1
12.1285600242317,0.0198124923778465,Flicker,1
16.1071795180916,0.0389194132013569,Flicker,1
23.8905492324736,0.138840856565735,Flicker,1
32.453944234852,0.669933636779705,Flicker,1
0.992657297482623,0.0141376317313139,Motion,0.375
1.49132430190434,0.0119009011761936,Motion,0.375
1.98428827105806,0.0100153546474492,Motion,0.375
3.00756817514819,0.00880389798693505,Motion,0.375
4.03633287813392,0.00728200480695178,Motion,0.375
5.9649638051788,0.00774358517180114,Motion,0.375
8.01551874242783,0.00897709461904166,Motion,0.375
11.9568567624838,0.011449414629456,Motion,0.375
15.9471668671759,0.0181262574740166,Motion,0.375
23.8616339656863,0.0521605340743745,Motion,0.375
32.2206405862184,0.219629563226882,Motion,0.375
1.00454303714415,0.0333095337663886,Flicker,0.375
1.49502489048434,0.0229771688777246,Flicker,0.375
2.00706547424969,0.0207236750669113,Flicker,0.375
2.98791938317346,0.015453597802706,Flicker,0.375
4.01166333546496,0.0143046801842646,Flicker,0.375
5.92831339691336,0.0150802951281502,Flicker,0.375
8.10488368766441,0.0170349924786373,Flicker,0.375
11.9920001671487,0.0249535286990262,Flicker,0.375
16.1349555545806,0.0405455741736866,Flicker,0.375
23.7366848065783,0.129441586218537,Flicker,0.375
32.6213289456827,0.58413698518239,Flicker,0.375
