0.49993,0.49989,0.49986,0.49985,0.49989,0.50003,0.50033,0.50086,0.50149,0.50188,0.50235,0.50288,0.5035,0.50418,0.50492,0.50571,0.50654,0.50739,0.50822,0.50902,0.50975,0.5104,0.51093,0.50938,0.50409,0.49904,0.49477,0.49169,0.49005,0.4899,0.49108,0.49328,0.49607,0.49902,0.50171,0.50387,0.50492,0.50418,0.5035,0.50288,0.50235,0.50188,0.50149,0.50116,0.50089,0.50067,0.50043,0.50018,0.50004,0.49998,0.49995
0.49993,0.49988,0.49984,0.49984,0.49991,0.50011,0.50053,0.50127,0.50211,0.50267,0.50333,0.50409,0.50496,0.50592,0.50698,0.5081,0.50928,0.51047,0.51165,0.51278,0.51382,0.51474,0.51549,0.51605,0.50972,0.5027,0.49662,0.49209,0.48946,0.48885,0.49007,0.4927,0.49618,0.49993,0.50339,0.50616,0.50698,0.50592,0.50496,0.50409,0.50333,0.50267,0.50211,0.50164,0.50126,0.50096,0.50068,0.50032,0.50011,0.5,0.49996
0.49993,0.49988,0.49984,0.49984,0.49994,0.50022,0.50078,0.50176,0.50295,0.50373,0.50465,0.50571,0.50693,0.50828,0.50975,0.51132,0.51296,0.51463,0.51628,0.51786,0.51932,0.5206,0.52165,0.52244,0.51765,0.50848,0.50037,0.49414,0.4903,0.48904,0.49014,0.4931,0.49721,0.50171,0.50589,0.50923,0.50975,0.50828,0.50693,0.50571,0.50465,0.50373,0.50295,0.5023,0.50176,0.50134,0.50097,0.50048,0.50019,0.50004,0.49997
0.49993,0.49987,0.49983,0.49984,0.49999,0.50035,0.50105,0.50226,0.50406,0.50514,0.5064,0.50787,0.50954,0.5114,0.51344,0.5156,0.51786,0.52016,0.52244,0.52462,0.52662,0.52839,0.52984,0.53092,0.5274,0.51619,0.5061,0.49816,0.49303,0.49099,0.49181,0.49492,0.49946,0.50451,0.50922,0.51293,0.51344,0.5114,0.50954,0.50787,0.5064,0.50514,0.50406,0.50316,0.50243,0.50184,0.5012,0.5006,0.50024,0.50005,0.49997
0.4999,0.49984,0.4998,0.49984,0.50002,0.50046,0.50129,0.50267,0.50481,0.50698,0.5087,0.5107,0.51296,0.51549,0.51825,0.5212,0.52427,0.52739,0.53048,0.53344,0.53616,0.53856,0.54053,0.542,0.53761,0.525,0.51344,0.50414,0.49792,0.49511,0.49552,0.49852,0.50316,0.50838,0.51322,0.51694,0.51825,0.51549,0.51296,0.5107,0.5087,0.50698,0.50551,0.5043,0.5033,0.50228,0.50125,0.50059,0.50021,0.50002,0.49994
0.49984,0.49977,0.49974,0.4998,0.50002,0.50051,0.50141,0.50286,0.50505,0.50817,0.51165,0.51432,0.51736,0.52075,0.52444,0.52839,0.5325,0.53668,0.54082,0.54478,0.54843,0.55164,0.55428,0.55625,0.54586,0.5332,0.52137,0.51165,0.50496,0.50168,0.50166,0.50425,0.50848,0.51327,0.51761,0.52075,0.52227,0.52075,0.51736,0.51432,0.51165,0.50934,0.50739,0.50548,0.50342,0.50193,0.50094,0.50034,0.50003,0.4999,0.49987
0.49972,0.49965,0.49963,0.49972,0.49997,0.50048,0.50135,0.50268,0.5046,0.50725,0.51074,0.5152,0.52069,0.52723,0.53227,0.53748,0.54291,0.54843,0.55389,0.55912,0.56394,0.56818,0.56591,0.55839,0.54883,0.53838,0.52833,0.5199,0.51394,0.51087,0.51058,0.51247,0.51568,0.51919,0.52211,0.5238,0.52394,0.52256,0.51995,0.51655,0.51286,0.50931,0.50621,0.50374,0.50194,0.50074,0.50005,0.49971,0.4996,0.49963,0.49971
0.49952,0.49946,0.49946,0.49959,0.49988,0.50038,0.5011,0.50207,0.50329,0.50475,0.5065,0.50857,0.51107,0.51413,0.51785,0.5223,0.5274,0.53292,0.53842,0.54333,0.54704,0.549,0.54887,0.54666,0.54271,0.53771,0.53249,0.52792,0.52464,0.52297,0.52284,0.52381,0.52524,0.52641,0.52671,0.52579,0.52356,0.52024,0.51621,0.51196,0.50794,0.5045,0.50183,0.49999,0.4989,0.49842,0.49835,0.49854,0.49885,0.49917,0.49945
0.49924,0.49919,0.49926,0.49946,0.49981,0.50028,0.50076,0.50111,0.50113,0.5006,0.49936,0.49734,0.49464,0.49156,0.48856,0.48622,0.48512,0.48571,0.48821,0.49256,0.49836,0.50504,0.51193,0.5184,0.52405,0.52866,0.53227,0.53503,0.53711,0.53858,0.5394,0.53937,0.53823,0.53579,0.53199,0.52698,0.52111,0.51488,0.50884,0.50351,0.49925,0.49625,0.49449,0.49383,0.494,0.49472,0.49571,0.49675,0.4977,0.49848,0.49907
0.49889,0.4989,0.49907,0.49941,0.4999,0.50038,0.50058,0.50012,0.49848,0.49514,0.48964,0.48171,0.47142,0.45927,0.44618,0.43347,0.42265,0.41521,0.41237,0.41484,0.42273,0.4355,0.45206,0.47099,0.49074,0.50981,0.52698,0.54127,0.55204,0.55895,0.56187,0.56093,0.55646,0.54905,0.53945,0.52861,0.51752,0.50713,0.49825,0.49141,0.48686,0.48453,0.48412,0.48516,0.48767,0.49066,0.49302,0.49486,0.49627,0.49757,0.49857
