tfreq,modulation,SF
1.04669721543102,0.00528205342546755,0.5
1.54134215803957,0.00454576894846932,0.5
3.09738454807495,0.00350822841935098,0.5
4.02837260153105,0.00310155872060609,0.5
6.18159062255944,0.00270736691180111,0.5
8.32330451090039,0.0023284956619269,0.5
12.6319143227743,0.00325996285194396,0.5
16.4705721085318,0.0047203039658144,0.5
24.6095276179408,0.00813936048684481,0.5
32.8393163523026,0.0194399005192275,0.5
49.2720094800617,0.0997947039403503,0.5
2.05960952240067,0.004249371137207,0.5
1.01365834837302,0.00883108913327842,0.25
1.53381875231295,0.00792517675038571,0.25
2.03823051169321,0.00635798608276401,0.25
3.10755545088398,0.0052861902803304,0.25
4.21803402192676,0.00398436832139638,0.25
6.16045416325681,0.00399510535167574,0.25
8.3516573621843,0.00346015315886328,0.25
12.5894925215163,0.00477723109632718,0.25
16.6673730682946,0.0058553867553287,0.25
25.0618797792369,0.0107486725709944,0.25
33.0016047893779,0.0242815232575171,0.25
49.3051704004264,0.092451672931611,0.25
1.01492390111577,0.00350479692827419,2
1.54644130724072,0.00312364217741571,2
2.08312304650244,0.00255898037166666,2
4.09725323949632,0.00216128216060124,2
6.10710684377935,0.00224404507892375,2
8.31770654955445,0.00251343786261474,2
12.616471699378,0.00374595927018048,2
16.6500518742277,0.00658951461931362,2
24.8472843546538,0.0130564209312802,2
33.9005464632031,0.0262152285522739,2
48.071191987941,0.0719778805039499,2
3.04408405335771,0.00241033847113295,2
